,id,y_true,prob_lr_seed_11_skf_0_paras_22_C_100_weight_None_solver_lbfgs,class_lr_seed_11_skf_0_paras_22_C_100_weight_None_solver_lbfgs
0,2963,0,2.4905605266942106e-05,0
1,3957,0,7.72368813860688e-07,0
2,2470,0,0.001951386154561129,0
3,3408,0,0.15371372385951948,0
4,4043,0,0.0006899350947527715,0
5,4171,0,0.005212161359169217,0
6,2481,0,0.8740621468118268,1
7,3268,0,0.025651602881419808,0
8,615,1,0.9522311108812227,1
9,698,1,0.49094185094537623,0
10,1366,0,0.06936288513600015,0
11,4005,0,0.0015591725423300693,0
12,51,0,0.18278427972749797,0
13,4152,1,0.12437826137562302,0
14,1969,0,0.00016732813336814163,0
15,516,0,0.14937861875987166,0
16,1158,0,0.798970380337853,1
17,716,1,0.2509160670279804,0
18,3240,0,0.02133117509808751,0
19,1793,0,0.00014577710678207178,0
20,974,0,0.0007643513430996255,0
21,770,0,2.5216755713019032e-08,0
22,164,1,0.329797757336065,0
23,3398,0,0.018055439938858733,0
24,2865,0,0.0018869276213968017,0
25,3006,0,0.1828851804305806,0
26,3433,0,0.07986607310764858,0
27,703,0,0.28338024613923307,0
28,1917,0,0.07866310423864734,0
29,1976,1,0.5740360676349822,1
30,2298,0,0.006353892392087958,0
31,2200,1,0.9051874721086347,1
32,2838,0,0.20381940552564382,0
33,3030,0,0.004404008941932325,0
34,2576,0,0.4297279373753692,0
35,3762,1,0.03375546776076486,0
36,3444,1,0.9052126547418406,1
37,2645,1,0.4322406625286765,0
38,3078,1,0.44248497114318913,0
39,2978,0,0.17127151406684626,0
40,3098,0,0.0044829483596839715,0
41,1096,1,0.935799731800641,1
42,2806,1,0.4905376484349942,0
43,4424,1,0.2618661390582017,0
44,156,1,0.837764688521052,1
45,3773,1,0.0011668403183045402,0
46,4507,0,9.02692351849263e-06,0
47,2884,0,0.003726684958129018,0
48,3574,0,0.027109360790038374,0
49,2925,1,0.6960001897369033,1
50,3620,0,0.8393845275077914,1
51,2805,0,0.2037806816314728,0
52,4016,0,0.20072657267370556,0
53,2137,0,0.7826103400353027,1
54,1390,0,9.029090871388894e-05,0
55,2385,0,0.025864539220998788,0
56,290,0,2.5119371260696574e-05,0
57,2564,0,0.00043305904736844235,0
58,1669,1,0.9774055808954581,1
59,640,0,0.03547958156291834,0
60,3785,0,3.266609116470875e-05,0
61,595,0,0.010553198873852957,0
62,1910,0,0.021934791409080744,0
