,id,y_true,prob_knn_seed_11_skf_0_paras_0_K_3,class_knn_seed_11_skf_0_paras_0_K_3
0,2963,0,0.0,0
1,3957,0,0.0,0
2,2470,0,0.0,0
3,3408,0,0.0,0
4,4043,0,0.0,0
5,4171,0,0.0,0
6,2481,0,0.6666666666666666,1
7,3268,0,0.0,0
8,615,1,1.0,1
9,698,1,0.6666666666666666,1
10,1366,0,0.3333333333333333,0
11,4005,0,0.0,0
12,51,0,0.0,0
13,4152,1,0.6666666666666666,1
14,1969,0,0.0,0
15,516,0,0.0,0
16,1158,0,0.0,0
17,716,1,0.6666666666666666,1
18,3240,0,0.0,0
19,1793,0,0.3333333333333333,0
20,974,0,0.0,0
21,770,0,0.0,0
22,164,1,0.6666666666666666,1
23,3398,0,0.0,0
24,2865,0,0.0,0
25,3006,0,0.0,0
26,3433,0,0.3333333333333333,0
27,703,0,0.3333333333333333,0
28,1917,0,0.0,0
29,1976,1,0.6666666666666666,1
30,2298,0,0.0,0
31,2200,1,0.6666666666666666,1
32,2838,0,0.0,0
33,3030,0,0.0,0
34,2576,0,0.0,0
35,3762,1,0.0,0
36,3444,1,1.0,1
37,2645,1,0.6666666666666666,1
38,3078,1,0.3333333333333333,0
39,2978,0,0.6666666666666666,1
40,3098,0,0.0,0
41,1096,1,1.0,1
42,2806,1,1.0,1
43,4424,1,0.3333333333333333,0
44,156,1,1.0,1
45,3773,1,0.3333333333333333,0
46,4507,0,0.0,0
47,2884,0,0.0,0
48,3574,0,0.3333333333333333,0
49,2925,1,0.3333333333333333,0
50,3620,0,0.0,0
51,2805,0,0.6666666666666666,1
52,4016,0,0.3333333333333333,0
53,2137,0,0.3333333333333333,0
54,1390,0,0.0,0
55,2385,0,0.0,0
56,290,0,0.0,0
57,2564,0,0.0,0
58,1669,1,1.0,1
59,640,0,0.3333333333333333,0
60,3785,0,0.3333333333333333,0
61,595,0,0.0,0
62,1910,0,0.0,0
63,2890,1,0.0,0
64,2587,0,0.0,0
65,665,1,0.6666666666666666,1
66,3378,0,0.6666666666666666,1
67,1104,0,0.3333333333333333,0
68,4212,1,1.0,1
69,132,0,0.3333333333333333,0
70,48,0,0.3333333333333333,0
71,1773,1,1.0,1
72,2310,0,0.0,0
73,1013,1,0.6666666666666666,1
74,1792,0,0.3333333333333333,0
75,3588,0,0.0,0
76,455,0,0.0,0
77,2657,1,1.0,1
78,4326,0,1.0,1
79,950,0,0.0,0
80,3970,0,0.0,0
81,1555,0,0.0,0
82,1789,0,0.3333333333333333,0
83,4295,0,0.0,0
84,3215,1,0.3333333333333333,0
85,1344,0,0.0,0
86,1271,0,0.0,0
87,1936,0,0.0,0
88,4372,0,0.0,0
89,1630,0,0.3333333333333333,0
90,422,0,0.0,0
91,3522,0,0.0,0
92,2257,0,0.0,0
93,3406,0,0.0,0
94,4034,0,0.0,0
95,3491,0,0.3333333333333333,0
96,4195,0,0.0,0
97,2646,1,0.6666666666666666,1
98,26,1,0.3333333333333333,0
99,3357,0,0.0,0
100,1406,1,1.0,1
101,3985,1,1.0,1
102,1871,0,0.0,0
103,3249,0,0.3333333333333333,0
104,205,1,1.0,1
105,202,1,0.3333333333333333,0
106,1340,0,0.6666666666666666,1
107,410,0,0.0,0
108,3774,1,0.6666666666666666,1
109,1677,0,0.0,0
110,3679,0,0.0,0
111,1863,0,0.3333333333333333,0
112,4450,0,0.0,0
113,2586,0,0.0,0
114,1434,1,0.6666666666666666,1
115,3007,1,1.0,1
116,3171,1,0.3333333333333333,0
117,606,0,0.0,0
118,2450,0,0.0,0
119,635,1,0.6666666666666666,1
120,61,1,0.3333333333333333,0
121,2448,1,0.3333333333333333,0
122,508,0,0.0,0
123,1888,0,0.0,0
124,264,1,1.0,1
125,647,0,0.3333333333333333,0
126,150,0,0.0,0
127,2036,0,0.0,0
128,4049,0,0.0,0
129,927,0,0.0,0
130,3571,0,0.0,0
131,1574,0,0.3333333333333333,0
132,1135,0,0.0,0
133,949,0,0.3333333333333333,0
134,1087,1,1.0,1
135,1184,1,0.6666666666666666,1
136,4350,0,0.3333333333333333,0
137,735,0,0.0,0
138,3274,0,1.0,1
139,2281,0,0.0,0
140,4186,1,0.6666666666666666,1
141,4197,0,0.0,0
142,1305,0,0.0,0
143,2597,0,0.0,0
144,474,1,1.0,1
145,1302,0,0.0,0
146,592,1,1.0,1
147,1895,0,0.0,0
148,1900,1,1.0,1
149,3829,1,0.0,0
150,2145,0,0.0,0
151,580,0,0.0,0
152,784,0,0.0,0
153,3114,0,0.0,0
154,3395,0,0.0,0
155,2140,0,0.0,0
156,2025,0,0.0,0
157,2291,1,1.0,1
158,1279,0,1.0,1
159,4140,1,0.3333333333333333,0
160,3687,1,0.3333333333333333,0
161,4495,0,0.0,0
162,1586,0,0.0,0
163,217,0,0.0,0
164,3050,0,0.3333333333333333,0
165,4172,1,0.3333333333333333,0
166,2136,0,0.0,0
167,3256,1,0.3333333333333333,0
168,3940,0,0.0,0
169,69,1,0.6666666666666666,1
170,2288,0,0.0,0
171,2122,0,0.3333333333333333,0
172,2804,0,0.0,0
173,3311,0,0.0,0
174,4057,1,0.0,0
175,2583,0,0.6666666666666666,1
176,961,1,1.0,1
177,815,0,0.3333333333333333,0
178,4007,0,0.0,0
179,2063,1,0.6666666666666666,1
180,4415,1,0.3333333333333333,0
181,3192,0,0.0,0
182,2074,0,0.3333333333333333,0
183,3943,1,0.0,0
184,1769,0,0.0,0
185,2414,0,0.3333333333333333,0
186,3234,0,0.0,0
187,2671,0,0.0,0
188,3000,0,1.0,1
189,1428,0,0.0,0
190,3632,1,0.0,0
191,4493,1,0.3333333333333333,0
192,2445,0,0.0,0
193,4502,0,0.0,0
194,3271,0,0.0,0
195,3716,0,0.0,0
196,10,0,0.3333333333333333,0
197,3102,1,0.3333333333333333,0
198,1179,0,0.0,0
199,1913,1,1.0,1
200,2332,0,0.0,0
201,2512,0,0.0,0
202,2741,0,0.0,0
203,2182,0,0.3333333333333333,0
204,2618,0,0.0,0
205,3838,1,0.0,0
206,2967,0,0.3333333333333333,0
207,2199,1,0.0,0
208,2321,0,0.0,0
209,3436,1,0.3333333333333333,0
210,679,0,0.0,0
211,161,0,0.0,0
212,4292,0,0.0,0
213,2881,1,0.6666666666666666,1
214,3285,0,0.0,0
215,734,0,0.0,0
216,431,0,0.0,0
217,1509,0,1.0,1
218,3816,0,0.3333333333333333,0
219,3313,1,1.0,1
220,1543,0,0.0,0
221,626,0,0.0,0
222,4042,0,0.3333333333333333,0
223,240,1,0.3333333333333333,0
224,3032,1,1.0,1
225,4486,0,0.0,0
226,3108,0,0.0,0
227,1459,0,1.0,1
228,3235,1,0.3333333333333333,0
229,1768,0,0.0,0
230,1705,0,0.0,0
231,235,0,0.3333333333333333,0
232,2531,0,0.0,0
233,3052,1,1.0,1
234,3186,1,1.0,1
235,1151,0,0.0,0
236,151,0,0.0,0
