,id,y_true,prob_xgboost_seed_6_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_6_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,3042,0,0.014593464,0
1,2670,0,0.017744983,0
2,4802,0,0.26535276,0
3,1731,0,0.66141367,1
4,3254,0,0.2086373,0
5,3330,0,0.6890821,1
6,195,0,0.115019165,0
7,4113,0,0.10604572,0
8,2164,0,0.00341066,0
9,670,0,0.7182063,1
10,716,0,0.11012486,0
11,4365,0,0.86073,1
12,406,0,0.38074976,0
13,1235,0,0.22656468,0
14,474,0,0.062448356,0
15,4439,1,0.029697848,0
16,4410,0,0.19939977,0
17,4002,0,0.6978201,1
18,2380,0,0.2025044,0
19,88,0,0.01462153,0
20,1658,0,0.01952646,0
21,2523,0,0.01777979,0
22,3713,0,0.006211557,0
23,4633,0,0.002279427,0
24,1597,0,0.7307916,1
25,4587,0,0.31770024,0
26,1815,0,0.05198998,0
27,840,0,0.78463703,1
28,3850,1,0.26236892,0
29,713,0,0.088944666,0
30,2541,0,0.00878181,0
31,2522,0,0.022462806,0
32,251,0,0.026001949,0
33,606,0,0.048624333,0
34,324,0,0.033377822,0
35,38,0,0.18168575,0
36,3258,0,0.00971971,0
37,1013,0,0.42845985,0
38,667,0,0.09989632,0
39,1392,1,0.9292818,1
40,2862,0,0.8633134,1
41,418,0,0.05226507,0
42,4743,0,0.05306301,0
43,1698,0,0.03616433,0
44,2772,0,0.0037764483,0
45,1751,1,0.97314703,1
46,17,0,0.023948306,0
47,4735,0,0.7188153,1
48,637,1,0.9850364,1
49,1569,0,0.020472856,0
50,3915,1,0.027367076,0
51,504,1,0.6201942,1
52,1694,1,0.8793741,1
53,3983,1,0.2902155,0
54,4231,0,0.21999697,0
55,3049,1,0.8527808,1
56,2057,0,0.13989301,0
57,3376,1,0.79531837,1
58,2654,0,0.095983274,0
59,4415,0,0.5394006,1
60,3953,0,0.021084428,0
61,434,0,0.045730025,0
62,3274,1,0.98556316,1
63,1335,0,0.0737336,0
64,3599,0,0.08187271,0
65,288,1,0.97465056,1
66,1827,1,0.40768185,0
67,593,0,0.47452784,0
68,3135,0,0.16557257,0
69,3176,0,0.011914938,0
70,1883,1,0.82414407,1
71,4257,0,0.14927524,0
72,4386,0,0.78033847,1
73,946,0,0.02940352,0
74,3662,1,0.4620034,0
75,291,0,0.035401106,0
76,4642,0,0.44951412,0
77,890,1,0.8908217,1
78,3984,1,0.62589145,1
79,4191,0,0.21222132,0
80,3174,0,0.4764087,0
81,3219,1,0.88712555,1
82,3325,1,0.65655893,1
83,4115,1,0.08126018,0
84,2984,0,0.02769903,0
85,3078,1,0.93199176,1
86,3149,1,0.1587738,0
87,4637,0,0.038246404,0
88,4543,1,0.92057276,1
89,4205,0,0.16617753,0
90,1414,0,0.8988623,1
91,1793,0,0.022377962,0
92,3253,0,0.041705497,0
93,3676,0,0.02389642,0
94,3208,1,0.9612454,1
95,789,0,0.020427126,0
96,4744,0,0.016660297,0
97,3637,1,0.9822854,1
98,3288,0,0.10931749,0
99,4733,0,0.060237758,0
100,797,1,0.96318364,1
101,3373,0,0.055406377,0
102,3733,0,0.0053333053,0
103,1204,0,0.048243944,0
104,92,0,0.48121813,0
105,1627,1,0.9905245,1
106,4272,0,0.10855124,0
107,1697,1,0.38826528,0
108,3342,0,0.046043452,0
109,2730,0,0.021230059,0
110,3576,1,0.9544619,1
111,1305,1,0.9741581,1
112,4037,1,0.83065116,1
113,101,0,0.0039861337,0
114,4273,0,0.82040447,1
115,99,0,0.01363892,0
116,3058,1,0.9350271,1
117,3388,0,0.21130148,0
118,3543,0,0.084256954,0
119,2874,0,0.08579431,0
120,811,1,0.86067224,1
121,1279,1,0.55642605,1
122,2562,0,0.17425069,0
123,1989,0,0.08156423,0
124,3294,1,0.92738324,1
125,366,0,0.6003936,1
126,588,1,0.9676654,1
127,1546,1,0.86114943,1
128,2153,0,0.03525603,0
129,1467,1,0.7593684,1
130,1497,0,0.046394177,0
