,id,y_true,prob_xgboost_seed_8_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_8_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,2375,0,0.004800741,0
1,432,0,0.0035144915,0
2,1161,0,0.011579802,0
3,897,1,0.9436579,1
4,2580,0,0.00406263,0
5,603,0,0.014307977,0
6,2412,0,0.0017584923,0
7,2708,0,0.023500275,0
8,874,0,0.0040892423,0
9,1495,0,0.0012065081,0
10,1345,0,0.007331297,0
11,2169,0,0.0024622153,0
12,2157,0,0.1534273,0
13,236,0,0.019159507,0
14,2147,0,0.0052474216,0
15,405,0,0.0025922316,0
16,1020,0,0.003315314,0
17,425,0,0.0020753387,0
18,366,0,0.008487667,0
19,2422,0,0.005749527,0
20,503,0,0.0025806306,0
21,1725,0,0.0078007905,0
22,1657,0,0.05629898,0
23,408,0,0.0018746877,0
24,38,0,0.03908064,0
25,2090,0,0.9146799,1
26,972,0,0.0062894667,0
27,537,0,0.019680051,0
28,1252,0,0.0015992237,0
29,2697,0,0.0029527715,0
30,1256,0,0.98117274,1
31,715,1,0.030475581,0
32,772,0,0.015549711,0
33,1493,0,0.010802656,0
34,1892,0,0.003776158,0
35,1734,0,0.009309468,0
36,1609,0,0.035592202,0
37,2538,0,0.0033647523,0
38,2356,0,0.01187429,0
39,1033,0,0.0018514724,0
40,2750,0,0.0019566081,0
41,1506,0,0.04528842,0
42,2322,0,0.004565702,0
43,276,0,0.0021100142,0
44,1640,0,0.0015816898,0
45,72,0,0.0024196012,0
46,2462,0,0.013839939,0
47,817,0,0.011408181,0
48,360,0,0.31581968,0
49,369,0,0.0050820545,0
50,1921,0,0.014812124,0
51,1006,0,0.034555137,0
52,1543,0,0.0032364908,0
53,282,0,0.0063901255,0
54,534,0,0.0024972705,0
55,2787,0,0.000796968,0
56,1515,0,0.00179135,0
57,1029,0,0.007746523,0
58,1380,0,0.009809845,0
59,1371,1,0.99642485,1
60,2064,0,0.013946972,0
61,1551,0,0.0019551374,0
62,1470,0,0.19647895,0
63,1151,0,0.00784556,0
64,976,0,0.0012227364,0
65,70,0,0.012141244,0
66,88,0,0.0018862921,0
67,2493,0,0.005424725,0
68,2168,1,0.49017608,0
69,1835,0,0.04200469,0
70,1084,0,0.004106063,0
