,id,y_true,prob_rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,class_rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced
0,533,1,0.45556243931247714,0
1,982,0,0.43178228063140767,0
2,1188,1,0.29868322930008834,0
3,702,0,0.5309535968790917,1
4,76,0,0.8135798319605337,1
5,300,0,0.14842543597990138,0
6,488,0,0.2193893048430087,0
7,1172,0,0.06598228874528889,0
8,170,0,0.18029194901380974,0
9,1385,1,0.10289489826123326,0
10,8,0,0.26201064749461905,0
11,912,0,0.18117583733344847,0
12,1161,0,0.2086062380332,0
13,304,0,0.49865863436536334,0
14,476,0,0.3481617560456522,0
15,1332,0,0.26664936250955246,0
16,994,0,0.1368508156277135,0
17,568,0,0.3854060932625999,0
18,806,0,0.10831437154133688,0
19,572,0,0.021575057879611666,0
20,63,0,0.5049519869093203,1
21,267,0,0.26700305005242503,0
22,783,0,0.10518133216528507,0
23,585,0,0.13220104046474832,0
24,1348,0,0.14301282275424954,0
25,72,0,0.23502820652079312,0
26,962,0,0.493717681147427,0
27,57,0,0.23618381444889386,0
28,316,0,0.17617089750444415,0
29,507,0,0.25446066506035175,0
30,318,0,0.16799729898468788,0
31,405,0,0.028432627973609802,0
32,627,0,0.7329524624899665,1
33,852,0,0.4646208476034279,0
34,409,0,0.27854739261829803,0
35,1226,0,0.49682091620851027,0
36,479,0,0.4520604678836833,0
37,289,0,0.3705039791002619,0
38,147,0,0.24506248880045528,0
39,950,1,0.4941838964398639,0
40,1310,0,0.3586194932944421,0
41,1267,0,0.4850506874534449,0
42,118,0,0.41989881662736456,0
43,1018,0,0.022893278923151225,0
44,872,0,0.12772378345184057,0
45,516,0,0.7295543388740832,1
46,65,0,0.5022752142836454,1
47,690,0,0.04663369188928499,0
48,542,0,0.2704488596913714,0
49,1029,0,0.5348490562366846,1
50,985,0,0.1753466565183742,0
51,22,0,0.656029032592906,1
52,53,0,0.20220979353713348,0
53,1082,1,0.7395284943410921,1
54,1192,0,0.13118606125474452,0
55,463,0,0.18636001564233992,0
56,784,0,0.19772860258057287,0
