,id,y_true,prob_xgboost_seed_16_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_16_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,3091,0,0.0574629,0
1,743,1,0.98947924,1
2,318,0,0.09494884,0
3,961,0,0.015850864,0
4,1868,0,0.055500064,0
5,586,0,0.01998377,0
6,2565,0,0.040429674,0
7,5268,1,0.7873792,1
8,3789,0,0.02704396,0
9,3788,0,0.03963645,0
10,4876,0,0.10649578,0
11,203,0,0.031388633,0
12,3912,0,0.066499636,0
13,4452,1,0.8525417,1
14,1021,0,0.08179708,0
15,4329,0,0.21702872,0
16,5192,0,0.019741027,0
17,4138,0,0.80555993,1
18,603,0,0.019376252,0
19,2511,0,0.0185911,0
20,3486,0,0.0058382945,0
21,4904,1,0.9874128,1
22,4089,0,0.018704291,0
23,4728,1,0.968856,1
24,3965,0,0.24418749,0
25,2801,0,0.043912925,0
26,108,0,0.08747248,0
27,682,0,0.47746953,0
28,1452,0,0.11722282,0
29,3117,0,0.010915251,0
30,3605,0,0.059123684,0
31,1557,0,0.23134917,0
32,4545,0,0.045984384,0
33,2885,0,0.8922431,1
34,35,1,0.8206376,1
35,3233,0,0.09853851,0
36,1731,0,0.38706404,0
37,903,0,0.07773447,0
38,1466,1,0.98020476,1
39,2548,0,0.89201546,1
40,3916,0,0.10417634,0
41,469,0,0.0649843,0
42,2938,0,0.08260343,0
43,3696,0,0.0042563532,0
44,658,1,0.9898358,1
45,3863,0,0.71930605,1
46,4574,1,0.05775451,0
47,4304,0,0.14645596,0
48,2760,0,0.07431855,0
49,4100,0,0.021769917,0
50,3541,1,0.7673221,1
51,1181,0,0.006874014,0
52,496,0,0.023404751,0
53,3799,1,0.9841235,1
54,26,1,0.8028649,1
55,4599,0,0.0076302276,0
56,587,1,0.9624989,1
57,594,0,0.0053622657,0
58,1511,1,0.28208888,0
59,4977,0,0.23420244,0
60,4449,0,0.03952368,0
61,4797,1,0.64543146,1
62,1199,1,0.9730998,1
63,4587,0,0.07014427,0
64,3877,0,0.024660347,0
65,901,1,0.9570159,1
66,2478,0,0.8937591,1
67,5121,0,0.0088685425,0
68,4435,0,0.14928369,0
69,1581,0,0.13522948,0
70,781,0,0.011553438,0
71,2604,0,0.2050277,0
72,3047,0,0.019595046,0
73,475,0,0.06329244,0
74,2110,0,0.8073326,1
75,339,0,0.6380683,1
76,3276,0,0.19640745,0
77,3338,0,0.0029426825,0
78,1859,0,0.0053245984,0
79,5163,0,0.37171125,0
80,2018,0,0.012871682,0
81,4954,0,0.0925937,0
82,3156,1,0.80098236,1
83,4475,0,0.2256341,0
84,2912,0,0.0043485835,0
85,2360,0,0.007102405,0
86,640,0,0.06207542,0
87,1160,0,0.06943137,0
88,279,0,0.20476876,0
89,671,0,0.07571874,0
90,3731,1,0.9005486,1
91,1768,1,0.5891007,1
92,32,1,0.7458902,1
93,2217,0,0.14699562,0
94,3942,0,0.124502264,0
95,517,1,0.99221194,1
96,118,1,0.92241997,1
97,1193,1,0.9546567,1
98,349,0,0.9648413,1
99,2060,0,0.01048772,0
100,2241,0,0.4448446,0
101,1545,1,0.86579293,1
102,4583,0,0.03886111,0
103,4570,0,0.19591005,0
104,1733,1,0.9156575,1
105,1410,0,0.0075827586,0
106,44,1,0.8722664,1
107,2858,1,0.15689708,0
108,4048,0,0.0038369116,0
109,4210,0,0.0054583377,0
110,4274,0,0.048298907,0
111,2791,1,0.530699,1
112,384,0,0.8903306,1
113,4390,0,0.046159435,0
114,2484,0,0.2552745,0
115,3364,0,0.048031375,0
116,4197,0,0.3726043,0
117,1530,0,0.027223397,0
118,4311,1,0.9626012,1
119,5086,1,0.03472932,0
120,2527,0,0.016061105,0
121,4709,0,0.09779971,0
122,1184,0,0.0063514374,0
123,1145,0,0.34430575,0
124,4479,0,0.88560396,1
125,103,0,0.024183776,0
126,4935,0,0.0081178835,0
127,796,1,0.382135,0
128,572,0,0.7997439,1
129,3994,0,0.12669063,0
130,4373,1,0.91678005,1
131,72,1,0.970713,1
132,97,0,0.0640108,0
133,1385,1,0.99236345,1
134,2634,0,0.026525155,0
135,17,0,0.08654923,0
136,3950,0,0.03168636,0
137,2408,0,0.113687895,0
138,1090,0,0.099964485,0
139,3904,0,0.18437222,0
140,4442,1,0.16427045,0
141,1832,0,0.0381198,0
142,5297,0,0.085133076,0
143,2775,0,0.03657902,0
144,4295,1,0.019727807,0
145,2248,0,0.01174117,0
