id,gmtamesQSAR_ID,SMILES,y_true,prob_weight6,class_weight6
0,gmtamesQSAR_3793,O=C1CCCCCCCCCCCCCCO1,0,0.028990388,0
1,gmtamesQSAR_4024,CCC(C)c1[nH]c(O)c(C(C)=O)c1O,0,0.028607965,0
2,gmtamesQSAR_4040,Nc1nc(N)nc(-c2ccccc2)n1,0,0.30883652,0
3,gmtamesQSAR_4216,Cc1c(O)[nH]c(CC(C)C)c(O)n(C)c(Cc2ccccc2)c(O)ncc(=O)n1C,0,0.0125335455,0
4,gmtamesQSAR_4363,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,0,0.9778217,1
5,gmtamesQSAR_4600,c1ccc2[nH]c(-c3cscn3)nc2c1,1,0.04820797,0
6,gmtamesQSAR_4724,S=C1NCCN1,0,0.18006957,0
7,gmtamesQSAR_4823,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,0,0.005586326,0
8,gmtamesQSAR_5318,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1,0.01797989,0
9,gmtamesQSAR_5923,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,0,0.36923653,0
10,gmtamesQSAR_6294,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,0,0.029520005,0
11,gmtamesQSAR_6436,C[C@]12CC[C@H](OC(=O)Cc3ccc(N(CCCl)CCCl)cc3)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)NC(=O)CC[C@@H]12,0,0.074595004,0
12,gmtamesQSAR_6627,CC1(C)C=C(C([O])=O)C(C)(C)N1O,0,0.0047371387,0
13,gmtamesQSAR_6659,CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(O)c4c(c(O)c3c2O)C(=O)C=CC4=O)C1C(=O)OC,1,0.99281764,1
14,gmtamesQSAR_6852,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,0,0.0438717,0
15,gmtamesQSAR_7211,O=C1C=CC(=O)C(c2ccccc2)=C1,0,0.9187155,1
16,gmtamesQSAR_7229,O=C1CC(=Nc2ccccc2)C(=O)c2ccccc21,0,0.2913958,0
17,gmtamesQSAR_7256,C/C=C/c1cc2c(c(=O)o1)C(=O)C(O)C(C)O2,0,0.0045179264,0
18,gmtamesQSAR_7517,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(/C(C)=N/NC(=O)c2ccccc2)C[C@@H]1OC1CC(N)C(O)C(C)O1)C3=O,0,0.9798834,1
19,gmtamesQSAR_7560,CCN(CCCl)c1ccc(CCCNc2c3ccccc3nc3ccccc23)cc1,1,0.25103283,0
20,gmtamesQSAR_7803,O=C1CCCCCCCCCCCC(=O)OCCO1,0,0.116999455,0
21,gmtamesQSAR_8077,O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCCC3,1,0.9982621,1
22,gmtamesQSAR_8210,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0,0.7763391,1
