,id,y_true,prob_knn_seed_8_skf_0_paras_0_K_3,class_knn_seed_8_skf_0_paras_0_K_3
0,71,0,0.0,0
1,151,0,0.0,0
2,144,0,0.0,0
3,195,1,0.3333333333333333,0
4,304,1,0.6666666666666666,1
5,191,0,0.0,0
6,173,0,0.6666666666666666,1
7,281,0,0.0,0
8,225,0,0.0,0
9,220,0,0.3333333333333333,0
10,285,0,0.3333333333333333,0
11,84,0,0.0,0
12,101,0,0.0,0
13,157,0,0.3333333333333333,0
14,316,0,0.0,0
15,290,0,0.0,0
16,66,1,1.0,1
17,33,1,0.6666666666666666,1
18,153,0,0.6666666666666666,1
19,317,0,0.3333333333333333,0
20,96,1,0.6666666666666666,1
21,240,1,0.3333333333333333,0
22,31,1,0.0,0
23,158,1,0.3333333333333333,0
24,17,0,0.0,0
25,136,0,0.0,0
26,137,1,1.0,1
27,27,0,0.0,0
28,169,0,0.0,0
29,14,0,0.0,0
30,53,0,0.0,0
31,183,0,0.3333333333333333,0
32,77,0,0.6666666666666666,1
33,313,1,0.6666666666666666,1
34,293,1,0.0,0
35,179,0,0.0,0
36,245,0,0.0,0
37,105,0,0.0,0
38,145,0,0.0,0
39,237,0,0.0,0
40,280,0,0.3333333333333333,0
41,129,0,0.3333333333333333,0
42,305,1,0.3333333333333333,0
43,288,0,0.0,0
44,172,0,0.0,0
45,23,0,0.0,0
46,197,0,0.3333333333333333,0
47,123,1,0.0,0
48,229,1,0.0,0
49,3,1,0.6666666666666666,1
50,205,0,0.0,0
51,279,0,0.3333333333333333,0
52,332,0,0.0,0
53,216,0,0.0,0
54,10,0,0.3333333333333333,0
