,id,y_true,prob_xgboost_seed_7_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,class_xgboost_seed_7_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6
0,2515,0,0.0062146834,0
1,1020,0,0.017609354,0
2,824,0,0.005609196,0
3,763,1,0.98308784,1
4,2324,0,0.006537636,0
5,2340,0,0.0023890338,0
6,2333,1,0.25013137,0
7,2542,0,0.0027315693,0
8,1293,0,0.0014618246,0
9,410,0,0.20708303,0
10,2789,0,0.005543741,0
11,598,0,0.018711267,0
12,605,0,0.0007184171,0
13,817,0,0.0009654827,0
14,110,0,0.0011750634,0
15,2034,0,0.14032584,0
16,91,0,0.0023306557,0
17,1201,1,0.23735404,0
18,278,0,0.0046708095,0
19,2810,0,0.019638978,0
20,1418,0,0.0018889426,0
21,2181,0,0.0023106248,0
22,870,0,0.008202048,0
23,670,0,0.002890727,0
24,923,0,0.0029194274,0
25,967,0,0.0012112078,0
26,1609,0,0.005536075,0
27,2439,0,0.0020559807,0
28,510,0,0.0051357285,0
29,1584,0,0.0011735646,0
30,1133,0,0.0013361559,0
31,1706,0,0.0016101366,0
32,306,0,0.009473007,0
33,2329,0,0.005628866,0
34,685,0,0.2001239,0
35,1939,0,0.0012129176,0
36,2152,0,0.0037262535,0
37,2147,0,0.0026522886,0
38,1690,0,0.049042862,0
39,2671,0,0.0019550258,0
40,93,0,0.0047982926,0
41,1753,0,0.0050937515,0
42,1534,0,0.002380272,0
43,1662,0,0.011193992,0
44,10,1,0.99610823,1
45,1480,0,0.009083612,0
46,1409,1,0.13386174,0
47,1770,0,0.0062245005,0
48,26,0,0.0013925895,0
49,897,0,0.0010719058,0
50,314,0,0.0014018961,0
51,457,0,0.0008471031,0
52,45,0,0.002157394,0
53,810,0,0.0011347558,0
54,1416,1,0.86356926,1
55,745,0,0.00082794734,0
56,1700,0,0.0006566394,0
57,343,0,0.0011323323,0
58,812,0,0.0013246811,0
59,1531,0,0.00216857,0
60,1105,0,0.0025752014,0
61,1991,0,0.029820727,0
62,1456,0,0.0020381536,0
63,600,1,0.9932514,1
64,1533,0,0.2551648,0
65,2652,0,0.003478128,0
66,1704,0,0.0011532474,0
67,2087,0,0.047797695,0
