,id,y_true,prob_svm_seed_2_skf_4_paras_19_kernel_rbf_C_1_gamma_1,class_svm_seed_2_skf_4_paras_19_kernel_rbf_C_1_gamma_1
0,1940,0,0.07902247108424441,0
1,4387,0,0.07910130378507257,0
2,2797,0,0.060569558539188655,0
3,457,0,0.8392277169726416,1
4,741,0,0.03751637435602293,0
5,2272,0,0.011155176036317303,0
6,2782,0,0.05398110683538451,0
7,2978,0,0.03445485769601102,0
8,3843,0,0.10461440605303471,0
9,2989,0,0.057185826716361694,0
10,843,0,0.041289986366908074,0
11,3240,0,0.7167164967266939,1
12,1175,0,0.14820499046146693,0
13,770,0,0.0960698333684038,0
14,859,0,0.08943148637665402,0
15,3866,0,0.6905774557197308,1
16,657,1,0.9076183539170523,1
17,3143,0,0.029623068919323762,0
18,278,1,0.7535211141916578,1
19,1696,1,0.5677348459985304,1
20,1805,1,0.9212474681374576,1
21,3321,0,0.05982760073235569,0
22,1909,0,0.023803251722536615,0
23,68,1,0.8122051882605593,1
24,1366,0,0.0629676122366855,0
25,417,0,0.06126519221578707,0
26,90,0,0.03190721890157265,0
27,870,0,0.04730577426421528,0
28,1474,0,0.8248471708752344,1
29,1101,0,0.05474593589318979,0
30,3529,0,0.8653044841554242,1
31,3783,0,0.03118413088712098,0
32,2512,1,0.8132530286364865,1
33,3472,0,0.8234041480063835,1
34,4120,0,0.11004904782591567,0
35,353,0,0.09786577945209993,0
36,3077,0,0.09788743236924227,0
37,2080,1,0.9510682658363099,1
38,1122,0,0.051863286574078904,0
39,2291,1,0.9374601039548973,1
40,3846,0,0.07424553575598104,0
41,3067,0,0.03829495028718301,0
42,2963,0,0.07896085368000844,0
43,2454,0,0.06080759817498051,0
44,1421,0,0.6545533253328247,1
45,1897,1,0.88215584664805,1
46,3226,0,0.07894307504240947,0
47,4249,0,0.06330223937470383,0
48,2608,0,0.04367786904869966,0
49,4548,1,0.9250058070096423,1
50,2730,0,0.047278066854259386,0
51,4316,1,0.7834149030629071,1
52,2904,0,0.028669502152265856,0
53,2775,0,0.8418113990414242,1
54,3466,0,0.23633714643370246,0
55,1091,1,0.28325972901944124,0
56,941,0,0.08696018270248226,0
57,4858,0,0.04786992062342026,0
58,2670,0,0.05039598858909831,0
59,4505,0,0.04793721411046844,0
60,2424,0,0.04369621226515686,0
61,3071,0,0.05993514358711543,0
62,1559,1,0.9049886202549803,1
63,1634,0,0.03683705767473477,0
64,147,0,0.06666509071022872,0
65,715,0,0.10497165547067684,0
66,4893,0,0.0772655195822076,0
67,3344,1,0.882955076113838,1
68,4612,1,0.8958875501425725,1
69,1824,0,0.04990967650235341,0
70,762,0,0.04188048813535568,0
71,1833,0,0.050605341629774564,0
72,3116,1,0.898355614489297,1
73,4236,0,0.06287238437499879,0
74,2474,1,0.8066253503285842,1
75,1745,0,0.05094204669608532,0
76,4452,0,0.0790131575600761,0
77,4186,0,0.08048568837577558,0
78,2303,0,0.040551702434485026,0
79,1072,1,0.5125715610127123,1
80,3446,0,0.05290597599615833,0
81,1825,0,0.03822729722118842,0
82,4621,0,0.07596765701084929,0
83,1042,0,0.7387880448023467,1
84,3097,0,0.07576601718151067,0
85,1131,1,0.9538962617398757,1
86,2563,0,0.04915088280666362,0
87,4065,0,0.05922516793527732,0
88,2813,0,0.06672749707253711,0
89,4875,1,0.9401000743460581,1
90,4408,1,0.5273681256426953,1
91,4031,0,0.043695225587379115,0
92,2604,0,0.051256893045273456,0
93,1836,0,0.0675597593113238,0
94,3342,1,0.8305666240070931,1
95,1203,0,0.028155242812563562,0
96,3709,0,0.010272338840168153,0
97,1372,1,0.9581952093435142,1
98,4379,1,0.42291729641947295,0
99,3329,0,0.05410847726461613,0
100,3898,0,0.03327825821898745,0
101,1390,1,0.8150515047551027,1
102,3276,0,0.8937429831620936,1
103,2153,0,0.06050786243981159,0
104,4245,0,0.0865352700985687,0
105,4671,0,0.04649113202107257,0
106,988,0,0.09929673617359264,0
107,79,0,0.036023437925876214,0
108,1815,1,0.0791107647550669,0
109,3055,0,0.043679584247256736,0
110,2422,0,0.04365756189056379,0
